model,epochs,batch_size,latent_dims,learning_rates,fc_layers_sizes,loss,accuracy,loss_history,hr_score
baseline,200.0,32.0,32.0,0.1,"[128, 64, 32]",15.664778709411621,0.0,"[12.876633644104004, 8.472269058227539, 9.260357856750488, 9.529535293579102, 15.664778709411621]",0.07407407407407407
baseline,200.0,32.0,64.0,0.01,"[512, 256, 128]",7.829346656799316,0.0,"[13.270448684692383, 11.597515106201172, 10.293654441833496, 9.351763725280762, 8.653010368347168, 8.1996431350708, 7.951427459716797, 7.914825439453125, 7.814709186553955, 7.750683307647705, 7.777815341949463, 7.801794052124023, 7.829346656799316]",0.031746031746031744
baseline,200.0,32.0,64.0,0.01,"[256, 128, 64]",7.547399520874023,0.01315789483487606,"[11.192020416259766, 10.333637237548828, 9.586326599121094, 8.9888277053833, 8.525568962097168, 8.164451599121094, 7.903441429138184, 7.727774143218994, 7.600578784942627, 7.5435404777526855, 7.490841388702393, 7.476312637329102, 7.449070930480957, 7.42819356918335, 7.431370735168457, 7.476545810699463, 7.547399520874023]",0.042328042328042326
baseline,200.0,32.0,64.0,0.01,"[128, 64, 32]",7.578519344329834,0.01315789483487606,"[9.6915283203125, 9.255062103271484, 8.877154350280762, 8.550158500671387, 8.292015075683594, 8.110613822937012, 7.913557529449463, 7.743579864501953, 7.6084418296813965, 7.502237319946289, 7.434347152709961, 7.386765956878662, 7.3422136306762695, 7.3088178634643555, 7.285503387451172, 7.299846649169922, 7.294158935546875, 7.253942966461182, 7.220178604125977, 7.207054615020752, 7.203036785125732, 7.207015037536621, 7.288046360015869, 7.578519344329834]",0.026455026455026454
baseline,200.0,32.0,64.0,0.1,"[512, 256, 128]",54.55439758300781,0.02631578966975212,"[70.97148895263672, 83.51702117919922, 32.31217575073242, 68.54676055908203, 42.314414978027344, 54.55439758300781]",0.015873015873015872
baseline,200.0,32.0,64.0,0.1,"[256, 128, 64]",43.562538146972656,0.01315789483487606,"[29.917577743530273, 17.41490364074707, 20.12250328063965, 17.628877639770508, 43.562538146972656]",0.037037037037037035
baseline,200.0,32.0,64.0,0.1,"[128, 64, 32]",12.010685920715332,0.0,"[8.744168281555176, 8.601728439331055, 10.553594589233398, 9.09561824798584, 12.010685920715332]",0.06878306878306878
baseline,200.0,32.0,128.0,0.01,"[512, 256, 128]",7.970826148986816,0.01315789483487606,"[14.267134666442871, 12.139019012451172, 10.474098205566406, 9.316920280456543, 8.586380004882812, 8.133034706115723, 7.946048259735107, 7.828592300415039, 7.8456220626831055, 7.930941104888916, 7.970826148986816]",0.047619047619047616
baseline,200.0,32.0,128.0,0.01,"[256, 128, 64]",7.640231609344482,0.01315789483487606,"[11.699973106384277, 10.612313270568848, 9.748619079589844, 9.08712387084961, 8.559908866882324, 8.187454223632812, 8.04478931427002, 7.8678975105285645, 7.73028564453125, 7.650855541229248, 7.620558738708496, 7.622602939605713, 7.642754077911377, 7.640231609344482]",0.015873015873015872
baseline,200.0,32.0,128.0,0.01,"[128, 64, 32]",7.326231479644775,0.01315789483487606,"[9.950953483581543, 9.3991117477417, 8.941572189331055, 8.566658020019531, 8.261773109436035, 8.0160493850708, 7.83035135269165, 7.69952392578125, 7.6554460525512695, 7.625274658203125, 7.564767837524414, 7.485271453857422, 7.458958625793457, 7.430141925811768, 7.4058966636657715, 7.389466285705566, 7.36883544921875, 7.335803985595703, 7.312152862548828, 7.369065761566162, 7.5291666984558105, 7.326231479644775]",0.031746031746031744
